bench,config,description,simTicks,numCycles,simInsts,average_packet_latency,cumulativeCycles,maxCycles,geoIPC
blackscholes,butter_donut_x_noci_nndbt_injej_none,,19619272685.0,333916.0,2292446804.0,7442.500227,90031224.0,74597995.0,0.2929049059072698
blackscholes,dbl_bfly_x_noci_nndbt_injej_none,,19658195633.0,335748.0,2292477026.0,7554.002098,90354285.0,74745991.0,0.29163708322910453
blackscholes,lpbt_s_latop_noci_nndbt_injej_none,,18847028941.0,311545.0,2292285917.0,6303.998569,85973477.0,71661707.0,0.30474894858329293
blackscholes,lpbt_m_latop_noci_nndbt_injej_none,,19287449004.0,323955.0,2292379708.0,6913.825112,88263288.0,73336308.0,0.2981867646695964
blackscholes,kite_large_noci_nndbt_injej_none,,19672089923.0,336090.0,2292460960.0,7434.248143,90208839.0,74798821.0,0.29429882368167054
blackscholes,kite_medium_noci_nndbt_injej_none,,19505720857.0,317927.0,2292434807.0,7099.175132,89099022.0,74166239.0,0.3016505753118931
blackscholes,ft_x_noci_nndbt_injej_none,,19378672395.0,321464.0,2292345629.0,6999.539403,88525416.0,73683165.0,0.2978853455911026
blackscholes,kite_small_noci_nndbt_injej_none,,19178947302.0,304120.0,2292354252.0,6491.139765,87079459.0,72923754.0,0.3128025301360045
blackscholes,lpbt_s_power_noci_nndbt_injej_none,,19000192251.0,306857.0,2292325496.0,6404.690148,86578927.0,72244077.0,0.3065494896203054
dedup,ft_x_noci_nndbt_injej_none,,8784141351.0,108368.0,5047194136.0,7373.351255,438916143.0,33399772.0,0.4956510951017828
dedup,kite_large_noci_nndbt_injej_none,,8784773603.0,112028.0,5047219990.0,7788.96396,439053620.0,33402176.0,0.48728609119518684
dedup,butter_donut_x_noci_nndbt_injej_none,,8785003728.0,110799.0,5047222528.0,7842.932979,439084823.0,33403051.0,0.48576320455865907
dedup,dbl_bfly_x_noci_nndbt_injej_none,,8785216495.0,112013.0,5047241760.0,8006.16952,439134632.0,33403860.0,0.48507158951169016
